Codigo Ciudad,Term Name,Parent Name,Parent Slug,VALOR DOMICILIO,Dias de entrega
05001,Medellin,Antioquia,05,12320,1
05002,Abejorral,Antioquia,05,60480,5
05003,San Antonio De Prado,Antioquia,05,42560,5
05004,Abriaqui,Antioquia,05,60480,5
05021,Alejandria,Antioquia,05,60480,5
05030,Amaga,Antioquia,05,60480,5
05031,Amalfi,Antioquia,05,42560,5
05034,Andes,Antioquia,05,60480,5
05036,Angelopolis,Antioquia,05,42560,5
05038,Angostura,Antioquia,05,60480,5
05040,Anori,Antioquia,05,42560,5
05042,Antioquia,Antioquia,05,60480,5
05044,Anza,Antioquia,05,60480,5
05045,Apartado,Antioquia,05,60480,5
05051,Arboletes,Antioquia,05,60480,5
05055,Argelia,Antioquia,05,42560,5
05059,Armenia,Antioquia,05,12320,5
05079,Barbosa,Antioquia,05,42560,5
05085,Belen Antioquia,Antioquia,05,60480,5
05086,Belmira,Antioquia,05,60480,5
05088,Bello,Antioquia,05,12320,1
05091,Betania,Antioquia,05,60480,5
05093,Betulia,Antioquia,05,60480,5
05101,Bolivar,Antioquia,05,42560,5
05105,Bolombolo,Antioquia,05,60480,5
05107,Briceño,Antioquia,05,60480,5
05113,Buritica,Antioquia,05,60480,5
05120,Caceres,Antioquia,05,42560,5
05125,Caicedo,Antioquia,05,60480,5
05129,Caldas,Antioquia,05,12320,2
05134,Campamento,Antioquia,05,60480,5
05138,Cañasgordas,Antioquia,05,60480,5
05142,Caracoli,Antioquia,05,60480,5
05145,Caramanta,Antioquia,05,60480,5
05147,Carepa,Antioquia,05,60480,4
05148,El Carmen De Viboral,Antioquia,05,60480,5
05150,Carolina,Antioquia,05,60480,5
05154,Caucasia,Antioquia,05,42560,3
05172,Chigorodo,Antioquia,05,60480,5
05190,Cisneros,Antioquia,05,60480,5
05197,Cocorna,Antioquia,05,60480,5
05206,Concepcion,Antioquia,05,60480,5
05209,Concordia,Antioquia,05,42560,5
05212,Copacabana,Antioquia,05,12320,2
05234,Dabeiba,Antioquia,05,60480,5
05237,Don Matias,Antioquia,05,60480,5
05240,Ebejico,Antioquia,05,60480,5
05250,El Bagre,Antioquia,05,60480,5
05252,El Poblado,Antioquia,05,12320,5
05253,La Pintada,Antioquia,05,42560,5
05264,Entrerrios,Antioquia,05,60480,5
05266,Envigado,Antioquia,05,12320,1
05282,Fredonia,Antioquia,05,60480,5
05284,Frontino,Antioquia,05,60480,5
05306,Giraldo,Antioquia,05,60480,5
05308,Girardota,Antioquia,05,12320,2
05310,Gomez Plata,Antioquia,05,60480,5
05313,Granada,Antioquia,05,42560,5
05315,Guadalupe,Antioquia,05,60480,5
05318,Guarne,Antioquia,05,12320,2
05321,Guatape,Antioquia,05,42560,5
05347,Heliconia,Antioquia,05,60480,5
05353,Hispania,Antioquia,05,42560,5
05360,Itagüi,Antioquia,05,12320,1
05361,Ituango,Antioquia,05,42560,5
05364,Jardin,Antioquia,05,60480,5
05368,Jerico,Antioquia,05,60480,5
05376,La Ceja,Antioquia,05,12320,2
05378,La Sierra,Antioquia,05,42560,5
05380,La Estrella,Antioquia,05,42560,5
05400,La Union,Antioquia,05,60480,5
05411,Liborina,Antioquia,05,42560,5
