N° Documento,Tarea,Comentario,Observaciones,Status,Observaciones 
1,Quienes somos,"Politica de Calidad, no es la misma de la anterior pagina, ver tienda.pharmaplus.com.co",,OK,
2,Trabaje con Nosotros y Contactenos,"Incluir formularios de envio, contactenos y trabaje con nosotros, con los mismos campos que tenia tienda.pharmaplus.com.co",,En proceso,A que correo llegan los datos
3,Horarios de atencion y Direccion,"Horarios de atención: Lunes a Viernes de 7: AM a 6 PM, sadados de 8:00 AM a 12 PM  / Direccion Calle 86 27-54y  corregir la liena fija (601) 5934010",,En proceso,Falta corregir la hora
4,Ver ubicaciones en Mapa,,,Ok,
5,Preferencias en Cockies,,,Ok,
6,Propuesta de valor,Agregar los mismos iconos que estan en tienda.pharmaplus.com.co,,Ok,
7,Garantias y devoluciones,,,"Ok, esta en Terminos y Condiciones",Falta incluir en no se aceptan devoluciones la de cadena de frío (Esta en Terminos y Condciones)
8,Politicas,"Actualizar, Aplicar un formulario que contanga todas la politicas, como esta en tienda.pharmaplus.com.co",,En proceso,Archivos enviado adjuntos actualizados
9,Poltica de coockies,Agregar link a documento de politica de cookies y opcion para aceptar o rechazar la politica,,OK,Archivo de Polticas enviado adjunmto
10,Terminos y condiciones,Aplicar y unificar un mejor diseño,,OK,Archivo actualizado Adjunto
11,Cotizar envio,Formulario de consulta de valor del envio y dias de entrega,Un formulario de consulta en donde se pueda seleccionar la ciudad e informe vallor del domicilio y dias de entrega,OK,Falta tarifas y días de entrega 
12,Reversion de pago electronico,Revisar el que esta en tienda.pharmaplus.com.co,,Pendiente,Falta agregar el procedimiento de devoluciones de pagos
13,Peticiones quejas y reclamos,Realizar formato de PQRS,"Tomar las preguntas que estan en el formato y adaptarlo al diseño de la pagina, los datos registrados deben llegar al correo atencionalusuario@pharmaplus.com.co",Pendiente,Agregar el formulario y el link
14,Registrese,"Nombre, apellido, número de identificación, dirección, ciudad y departamento, número de contacto y opcional la fecha de nacimiento ",,Pendiente,"No me permitio crear la cuenta, me sale error de pagina"
15, Configuracion de cuenta,"Cambio de contraseña, Actualizacion de datos, Eliminar cuenta",,Pendiente,Preguntar si ya esta hecho (no se puede acceder)
16,Revisar Iconos de Categorias para que sea de acuerdo con las Categorias Codificadas,,,OK,
17,Tiendas,"Por ahora solo tenemos un punti de venta, agregar una plantilla con los datos de Pharmaplus, direccion, ciudad, telefonos, horarios de atencion, y vista de mapa de Google",,OK,
18,Opcion Menu Categorias,,,OK,Esta muy lento el acceso a las categorias
